Date;ENGI FP Equity;CS FP Equity;RTY Index;SPX Index;SX5E Index;SXXP Index
16/12/2021;13.00;25.755;2152.455;4668.67;4201.87;476.56
15/12/2021;12.96;25.435;2195.209;4709.85;4159.68;470.76
14/12/2021;12.878;25.435;2159.65;4634.09;4144.51;469.56
13/12/2021;12.908;25.32;2180.495;4668.97;4183.04;473.53
10/12/2021;13.066;25.37;2211.806;4712.02;4199.16;475.56
09/12/2021;13.166;25.53;2220.205;4667.45;4208.3;476.99
08/12/2021;13.134;25.545;2271.706;4701.21;4233.09;477.36
07/12/2021;13.192;25.62;2253.788;4686.75;4276.2;480.18
06/12/2021;13.11;25.465;2203.479;4591.67;4137.11;468.71
03/12/2021;12.976;25.005;2159.31;4538.43;4080.15;462.77
02/12/2021;12.84;25.105;2206.333;4577.1;4108.02;465.44
01/12/2021;13.00;25.235;2147.42;4513.04;4179.15;470.86
30/11/2021;12.81;24.35;2198.908;4567;4063.06;462.96
29/11/2021;12.894;24.235;2241.976;4655.27;4109.51;467.24
26/11/2021;12.796;24.225;2245.935;4594.62;4089.58;464.05
25/11/2021;13.228;25.47;#N/A;#N/A;4293.24;481.72
24/11/2021;13.064;25.54;2331.459;4701.46;4276.25;479.69
23/11/2021;13.07;25.495;2327.855;4690.7;4283.82;479.25
22/11/2021;13.04;25.395;2331.348;4682.94;4338.69;485.46
19/11/2021;13.112;25.165;2343.161;4697.96;4356.47;486.08
18/11/2021;13.35;25.43;2363.589;4704.54;4383.7;487.7
17/11/2021;13.462;25.565;2377.008;4688.67;4400.81;489.95
16/11/2021;13.478;25.555;2405.024;4700.9;4401.49;489.27
15/11/2021;13.376;25.86;2400.934;4682.8;4386.19;488.43
12/11/2021;13.16;25.78;2411.776;4682.85;4370.33;486.75
11/11/2021;13.154;25.755;2409.144;4649.27;4358;485.29
10/11/2021;12.86;25.67;2389.582;4646.71;4348.82;483.76
09/11/2021;12.718;25.355;2427.292;4685.25;4344.63;482.71
08/11/2021;12.738;25.59;2442.742;4701.7;4352.53;483.61
05/11/2021;12.71;25.50;2437.083;4697.53;4363.04;483.44
04/11/2021;12.66;25.55;2402.432;4680.06;4333.34;483.21
03/11/2021;12.46;25.645;2404.284;4660.57;4309.61;481.22
02/11/2021;12.49;25.585;2361.855;4630.65;4296.22;479.53
01/11/2021;12.402;25.305;2358.121;4613.67;4280.47;478.87
29/10/2021;12.296;25.16;2297.191;4605.38;4250.56;475.51
28/10/2021;12.394;24.415;2297.979;4596.42;4233.87;475.16
